month,commodity_name,avg_modal_price
2014-01-01,sugarcane,3331.25
2014-02-01,sugar,3255.21
2014-02-01,coffee,11526.91
2014-02-01,rice,2587.11
2014-02-01,maize,1266.1
2014-02-01,groundnut,3453.18
2014-02-01,cotton,4927.44
2014-02-01,jowar(sorghum),1783.68
2014-02-01,tea,17740.51
2014-02-01,sugarcane,268.33
2014-02-01,coconut,4601.89
2014-02-01,barley (jau),1316.68
2014-02-01,ginger(dry),6758.19
2014-02-01,turmeric,5912.92
2014-02-01,sunflower,3288.3
2014-02-01,wheat,1697.11
2014-03-01,sunflower,3398.21
2014-03-01,sugarcane,216.67
2014-03-01,tea,19509.28
2014-03-01,rice,2610.11
2014-03-01,millets,1785.71
2014-03-01,coffee,12685.03
2014-03-01,cotton,4771.31
2014-03-01,maize,1290.29
2014-03-01,groundnut,3429.96
2014-03-01,jowar(sorghum),1943.37
2014-03-01,coconut,4882.23
2014-03-01,wheat,1647.1
2014-03-01,turmeric,5811.09
2014-03-01,ginger(dry),7525.83
2014-03-01,barley (jau),1239.14
2014-03-01,sugar,3299.58
2014-04-01,coconut,4497.24
2014-04-01,ginger(dry),9189.93
2014-04-01,sugarcane,1590.0
2014-04-01,wheat,1552.83
2014-04-01,tea,18125.35
2014-04-01,coffee,13453.19
2014-04-01,groundnut,3515.34
2014-04-01,maize,1294.91
2014-04-01,barley (jau),1126.31
2014-04-01,cotton,4581.06
2014-04-01,millets,1840.0
2014-04-01,turmeric,6138.69
2014-04-01,jowar(sorghum),1872.88
2014-04-01,rice,2624.61
2014-04-01,sunflower,3341.83
2014-04-01,sugar,3405.83
2014-05-01,cotton,4522.01
2014-05-01,rice,2631.67
2014-05-01,groundnut,3590.61
2014-05-01,sunflower,3306.49
2014-05-01,coconut,4868.71
2014-05-01,millets,1576.92
2014-05-01,barley (jau),1171.44
2014-05-01,jowar(sorghum),1922.36
2014-05-01,sugar,3427.34
2014-05-01,sugarcane,865.71
2014-05-01,tea,17697.25
2014-05-01,wheat,1540.28
2014-05-01,ginger(dry),10229.95
2014-05-01,coffee,13637.78
2014-05-01,maize,1287.37
2014-05-01,turmeric,6403.94
2014-06-01,sugar,3423.23
2014-06-01,sugarcane,1886.67
2014-06-01,maize,1271.88
2014-06-01,jowar(sorghum),2086.22
2014-06-01,barley (jau),1177.53
2014-06-01,wheat,1520.61
